credit_score,income,loan_amount,loan_term,interest_rate,debt_to_income,num_accounts,missed_payments,loan_default
402,77608,6384,36,6.610976355366987,0.448425953237797,3,0,1
735,109962,27689,60,19.248538916293022,0.8727816012413245,5,1,0
570,60277,32475,12,6.637956491380201,0.2561154158775092,9,4,1
406,51551,13252,48,11.92243697677004,0.12721323907682588,3,1,0
371,109813,35844,48,19.069881000902985,0.4417626711824342,2,2,0
320,76597,35151,60,8.490623005833072,0.562156470152124,8,0,1
421,65212,45006,48,5.521774712881011,0.33801418802511574,7,1,0
766,29637,28365,36,16.896660125423313,0.533414402701354,9,3,0
514,63258,11026,24,13.938254565035148,0.8627215570015897,4,3,0
630,55693,37767,12,12.70881789352161,0.34941662993289635,3,1,0
758,29824,33523,60,5.515150765298276,0.34754162495943264,5,2,0
387,46950,15482,48,14.798469032102677,0.48621431830476347,1,0,0
672,43488,46432,24,7.574350278268472,0.5122530687130835,5,2,0
399,20215,30108,36,18.96795020307043,0.10109274070006818,3,4,0
430,31523,5493,48,15.28590426613523,0.5927001049638719,1,1,0
608,95900,21465,48,15.605508320507548,0.8978858789317686,3,2,0
643,88689,44767,12,8.488704089169207,0.33360643957636527,5,4,0
791,43834,34550,36,18.211307570850778,0.6046480370132233,5,2,1
713,54474,18833,36,13.065988561748016,0.10369732402720536,8,4,0
685,63066,7970,60,17.856262667213457,0.5834612898375185,1,3,1
491,119871,37779,12,9.06421212248414,0.4576546475422544,7,3,0
576,30400,34958,60,16.33192569647369,0.524234522771739,5,1,0
460,30345,22145,12,13.618503554900713,0.535123973993907,3,2,1
759,53896,40953,36,5.726289587158725,0.241562375439883,4,3,0
613,105430,6806,12,11.080134856599305,0.7159744975034322,3,0,0
321,48899,10664,12,7.758656976851973,0.5443756968082712,8,3,0
552,48229,33900,12,10.387603818181342,0.31615556759759533,4,3,0
774,25583,19126,24,10.750274513978336,0.8499052372523459,3,2,0
358,24897,10154,24,12.12392529542577,0.11021896800324482,2,4,0
810,91537,27208,36,14.004356640926947,0.6807497711998314,3,0,0
775,24567,18767,12,13.564664787472989,0.4049881485256831,7,0,0
489,94807,25043,36,5.584871070574926,0.5180358650490455,6,4,0
543,97239,6525,24,16.260338277330828,0.3332077995564653,5,2,0
804,33329,38528,12,19.23775826709152,0.3570017410106826,8,3,1
